item	itemLabel	pub	id	mndate	mxdate
http://www.wikidata.org/entity/Q7198877	Pitcher-Plants of Borneo	1996-01-01T00:00:00Z	Q5065874	1996	1996
http://www.wikidata.org/entity/Q28188213	The future of coral reefs	2001-05-08T00:00:00Z	Q6962784	1997	2001
http://www.wikidata.org/entity/Q54803234	High-level classification of the Fungi and a tool for evolutionary ecological analyses	2018-05-16T00:00:00Z	Q7816746	2018	2018
http://www.wikidata.org/entity/Q14624837	Sulcorebutia azurduyensis (Cactaceae) – eine neue Art aus der Umgebung von Azurduy, Bolivien	2006-01-01T00:00:00Z	Q13218933	2006	2006
http://www.wikidata.org/entity/Q14624793	Parodia pilayaensis (Cactaceae) – eine neue Art aus Bolivien	2006-01-01T00:00:00Z	Q13220270	2006	2006
http://www.wikidata.org/entity/Q14624840	Eine neue Art aus Bolivien – Sulcorebutia heliosoides (Cactaceae)	2008-01-01T00:00:00Z	Q13223431	2008	2010
http://www.wikidata.org/entity/Q14624840	Eine neue Art aus Bolivien – Sulcorebutia heliosoides (Cactaceae)	2008-01-01T00:00:00Z	Q13223660	2008	2010
http://www.wikidata.org/entity/Q21812792	Two new species of Gingers (Zingiberaceae) from Myanmar	2012-06-07T00:00:00Z	Q13363891	2012	2012
http://www.wikidata.org/entity/Q21128541	Two new species of Solanum (Solanaceae) from the Amotape-Huancabamba Zone of southern Ecuador and northern Peru	2010-11-01T00:00:00Z	Q13423967	2010	2010
http://www.wikidata.org/entity/Q13521346	A farewell to dated ideas and concepts: molecular phylogenetics and a revised suprageneric classification of the family Cactaceae	2010-01-01T00:00:00Z	Q13424290	2010	2010
http://www.wikidata.org/entity/Q36037273	High proportion of cactus species threatened with extinction.	2015-10-05T00:00:00Z	Q13494091	2015	2015
http://www.wikidata.org/entity/Q43295852	Allium brussalisii (Alliaceae), a new species from Greece	2008-09-01T00:00:00Z	Q13502731	2008	2008
http://www.wikidata.org/entity/Q21973805	Impatiens xanthinoides (Balsaminaceae), a new species from Yunnan, China	2015-09-25T00:00:00Z	Q13512779	2015	2015
http://www.wikidata.org/entity/Q21132065	Phylogeny of Campanuloideae (Campanulaceae) with emphasis on the utility of nuclear pentatricopeptide repeat (PPR) genes	2014-01-01T00:00:00Z	Q18986804	2004	2014
http://www.wikidata.org/entity/Q56885488	Self-incompatibility and pollen limitation in the rare tristylous endemic Hugonia serrata on La Réunion Island	2011-02-03T00:00:00Z	Q19001462	2011	2011
http://www.wikidata.org/entity/Q57069454	Phylogeny of the Celastraceae inferred from phytochrome B gene sequence and morphology	2001-02-01T00:00:00Z	Q19002124	2001	2001
http://www.wikidata.org/entity/Q61877025	A Revision of Solanum Section Herpystichum	2011-10-01T00:00:00Z	Q19002602	2009	2011
http://www.wikidata.org/entity/Q28948129	(276–279) Proposals to provide for registration of new names and nomenclatural acts	2016-06-24T00:00:00Z	Q19003241	2007	2016
http://www.wikidata.org/entity/Q57526824	Pollination mutualism between a new species of the genus Colocasiomyia de Meijere (Diptera: Drosophilidae) and Steudnera colocasiifolia (Araceae) in Yunnan, China	2006-03-01T00:00:00Z	Q19003594	2006	2006
http://www.wikidata.org/entity/Q56863125	Solanum insanum L. (subgenus Leptostemonum Bitter, Solanaceae), the neglected wild progenitor of eggplant (S. melongena L.): a review of taxonomy, characteristics and uses aimed at its enhancement for improved eggplant breeding	2017-10-01T00:00:00Z	Q19001557	2017	2017
http://www.wikidata.org/entity/Q56492087	Systematics of Syzygium (Myrtaceae) from Africa and the Indian Ocean region	2014-01-01T00:00:00Z	Q19517885	2014	2014
http://www.wikidata.org/entity/Q28282057	Plectranthus: a review of ethnobotanical uses	2006-01-03T00:00:00Z	Q20876297	2006	2006
http://www.wikidata.org/entity/Q58653960	Checklist of Lichens and Allied Fungi of Japan	2018-01-01T00:00:00Z	Q21339645	2018	2018
http://www.wikidata.org/entity/Q54599684	Fellhanera Viridisorediata, a New Sorediate Species From Sheltered Trees and Shrubs in Western Europe	1998-01-01T00:00:00Z	Q21340723	1998	2007
http://www.wikidata.org/entity/Q32860496	Schaereria dolodes (Nyl. ex Hasse) Schmull & T. Sprib.: a second corticolous species in the genus	2005-10-27T00:00:00Z	Q21341277	2005	2005
http://www.wikidata.org/entity/Q21972837	Reconstructing the early evolution of Fungi using a six-gene phylogeny	2006-10-19T00:00:00Z	Q21341928	2004	2007
